State/Union Territory,Year,Power_Requirement_Net_Crore_Units,Availability_Of_Power_Net_Crore_Units,Availability_Of_Power_Per_Capita_kiloWatt-Hour,Installed_Power_Capacity_MegaWatt
Andaman and Nicobar Islands,2004-05,-,-,-,65
Andhra Pradesh,2004-05,5042,5006,656.9,10809
Arunachal Pradesh,2004-05,16,16,143.9,187
Assam,2004-05,379,358,134.4,1133
Bihar,2004-05,720,648,78,1644
Chandigarh,2004-05,116,115,1274.7,79
Chhattisgarh,2004-05,1175,1155,554.5,1633
Dadra and Nagar Haveli,2004-05,183,183,8299.7,38
Daman and Diu,2004-05,112,112,7073.1,14
Delhi,2004-05,2116,2095,1512.7,3426
Goa,2004-05,215,215,1592.4,305
Gujarat,2004-05,5968,5272,1040.5,9291
Haryana,2004-05,2180,2056,972.4,3934
Himachal Pradesh,2004-05,400,392,644.5,1687
Jammu and Kashmir,2004-05,814,739,728.2,1502
Jharkhand,2004-05,363,355,131.7,1897
Karnataka,2004-05,3516,3369,637.4,7557
Kerala,2004-05,1269,1254,393.8,3473
Lakshadweep,2004-05,-,-,-,10
Madhya Pradesh,2004-05,3481,3010,498.7,5770
Maharashtra,2004-05,9272,8154,841.7,15669
Manipur,2004-05,54,52,241.4,159
Meghalaya,2004-05,137,123,529.6,299
Mizoram,2004-05,24,22,249.8,121
Nagaland,2004-05,33,32,162.8,120
Odisha,2004-05,1398,1388,377,3428
Puducherry,2004-05,154,154,1577.5,245
Punjab,2004-05,3339,3038,1247.3,6183
Rajasthan,2004-05,2921,2897,512.7,7607
Sikkim,2004-05,-,-,-,141
Tamil Nadu,2004-05,4787,4757,762.3,11493
Telangana,2004-05,.,.,.,.
Tripura,2004-05,70,64,200.4,239
Uttar Pradesh,2004-05,5202,4157,250.1,8182
Uttarakhand,2004-05,463,447,526.5,1443
West Bengal,2004-05,2316,2279,284.2,5565
Andaman and Nicobar Islands,2005-06,24,17,466.1,71
Andhra Pradesh,2005-06,5303,5233,686.7,11325
Arunachal Pradesh,2005-06,21,21,187.6,179
Assam,2005-06,405,378,141.7,1131
Bihar,2005-06,796,722,87,1629
Chandigarh,2005-06,126,126,1396.8,86
Chhattisgarh,2005-06,1301,1254,601.9,1649
Dadra and Nagar Haveli,2005-06,254,253,11479,38
Daman and Diu,2005-06,135,132,8362.6,14
Delhi,2005-06,2160,2128,1536.5,3513
Goa,2005-06,234,234,1734.8,305
Gujarat,2005-06,5714,5244,1034.8,9848
Haryana,2005-06,2379,2163,1023,3915
Himachal Pradesh,2005-06,430,426,700.6,1656
Jammu and Kashmir,2005-06,927,767,756.3,1455
Jharkhand,2005-06,403,387,143.5,2017
Karnataka,2005-06,3460,3435,649.9,7785
Kerala,2005-06,1367,1358,426.4,3496
Lakshadweep,2005-06,2,2,395.7,10
Madhya Pradesh,2005-06,3685,3162,523.9,6199
Maharashtra,2005-06,10277,8412,868.2,16157
Manipur,2005-06,51,49,225.7,158
Meghalaya,2005-06,138,114,493.4,288
Mizoram,2005-06,23,22,243,117
Nagaland,2005-06,41,39,195.4,103
Odisha,2005-06,1521,1501,407.8,3476
Puducherry,2005-06,168,168,1722.2,260
Punjab,2005-06,3568,3259,1337.9,6266
Rajasthan,2005-06,3205,3088,546.5,7716
Sikkim,2005-06,21,21,388.3,114
Tamil Nadu,2005-06,5419,5385,863,12331
Telangana,2005-06,.,.,.,.
Tripura,2005-06,75,67,208.2,244
Uttar Pradesh,2005-06,5568,4403,264.9,8597
Uttarakhand,2005-06,516,501,589.9,1474
West Bengal,2005-06,2494,2451,305.7,5411
Andaman and Nicobar Islands,2006-07,24,19,533.5,71
Andhra Pradesh,2006-07,6096,5828,764.7,11642
Arunachal Pradesh,2006-07,29,26,235.9,179
Assam,2006-07,430,398,149.5,1181
Bihar,2006-07,843,774,93.3,1629
